,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,carbonia,39.1672,8.5222,60.8,88,0,3.44,IT,1619382376
1,ushuaia,-54.8,-68.3,55.4,50,20,16.11,AR,1619382352
2,qaanaaq,77.484,-69.3632,31.48,74,27,4.07,GL,1619382377
3,sechura,-5.5569,-80.8222,80.44,58,62,13.42,PE,1619382377
4,cape town,-33.9258,18.4232,62.01,94,20,8.05,ZA,1619382377
5,georgetown,5.4112,100.3354,81.0,94,20,3.44,MY,1619382108
6,rikitea,-23.1203,-134.9692,77.86,74,100,8.1,PF,1619382377
7,menongue,-14.6585,17.691,68.0,46,83,4.29,AO,1619382142
8,amroli,21.3,72.85,86.85,45,9,4.74,IN,1619382378
9,flinders,-34.5833,150.8552,50.0,86,16,1.01,AU,1619382378
10,kloulklubed,7.0419,134.2556,77.0,88,90,10.36,PW,1619382378
11,darab,28.7519,54.5444,73.65,24,63,4.56,IR,1619382378
12,mataura,-46.1927,168.8643,46.0,80,72,11.99,NZ,1619382379
13,mwinilunga,-11.7358,24.4293,64.65,83,99,2.64,ZM,1619382379
14,saskylakh,71.9167,114.0833,16.18,95,100,14.07,RU,1619382379
15,ode,7.7899,5.7117,75.85,84,100,2.55,NG,1619382379
16,avarua,-21.2078,-159.775,82.4,78,40,10.36,CK,1619382380
17,portland,45.5234,-122.6762,59.0,51,90,5.75,US,1619382137
18,doha,25.2867,51.5333,82.99,74,39,4.61,QA,1619382380
19,atuona,-9.8,-139.0333,79.92,72,50,15.3,PF,1619382380
20,port alfred,-33.5906,26.891,70.36,65,100,13.11,ZA,1619382380
21,joensuu,62.6012,29.7632,39.99,100,90,8.05,FI,1619382380
22,kieta,-6.2167,155.6333,78.4,78,73,1.66,PG,1619382381
23,puerto ayora,-0.7393,-90.3518,84.2,65,20,17.27,EC,1619382381
24,albany,42.6001,-73.9662,57.2,67,90,8.05,US,1619382215
25,torbay,47.6666,-52.7314,51.8,40,20,19.57,CA,1619382381
26,chokurdakh,70.6333,147.9167,19.27,94,100,14.25,RU,1619382381
27,hilo,19.7297,-155.09,80.6,57,75,3.44,US,1619382128
28,punta arenas,-53.15,-70.9167,57.2,62,75,19.57,CL,1619382141
29,kavieng,-2.5744,150.7967,81.39,76,100,3.09,PG,1619382382
30,jaciara,-15.9653,-54.9683,71.26,87,100,3.09,BR,1619382382
31,huntington,38.4193,-82.4452,63.0,59,75,8.05,US,1619382382
32,kulhudhuffushi,6.6221,73.07,83.98,72,14,5.84,MV,1619382382
33,york,40.1254,-77.0,64.99,39,75,17.27,US,1619382364
34,esfahan,32.6572,51.6776,62.6,34,40,6.91,IR,1619382383
35,sambava,-14.2667,50.1667,74.14,88,95,8.03,MG,1619382383
36,bluff,-46.6,168.3333,46.0,80,71,11.99,NZ,1619382383
37,kudahuvadhoo,2.6708,72.8944,82.94,68,10,6.06,MV,1619382383
38,asau,46.4333,26.4,45.0,44,24,5.99,RO,1619382384
39,busselton,-33.65,115.3333,52.0,97,100,4.36,AU,1619382384
40,altamont,42.2068,-121.7372,35.6,93,90,10.36,US,1619382384
41,east london,-33.0153,27.9116,68.4,75,100,11.23,ZA,1619382384
42,yellowknife,62.456,-114.3525,12.0,66,90,10.36,CA,1619382384
43,nurobod,40.9056,69.8023,62.6,51,0,5.21,UZ,1619382385
44,riyadh,24.6877,46.7219,82.4,20,0,3.44,SA,1619382385
45,dostpur,26.2833,82.4667,80.38,12,66,6.24,IN,1619382385
46,metro,-5.1131,105.3067,73.76,92,89,3.96,ID,1619382385
47,victoria,22.2855,114.1577,73.0,84,100,1.01,HK,1619382316
48,upernavik,72.7868,-56.1549,36.27,83,4,4.05,GL,1619382386
49,tasiilaq,65.6145,-37.6368,37.4,70,90,19.57,GL,1619382386
50,souillac,-20.5167,57.5167,75.2,94,75,12.66,MU,1619382386
51,pangnirtung,66.1451,-65.7125,32.0,86,90,3.44,CA,1619382386
52,hermanus,-34.4187,19.2345,63.0,86,100,1.01,ZA,1619382387
53,mandera,3.9366,41.867,82.8,61,100,3.04,KE,1619382387
54,nichinan,31.6,131.3667,55.44,77,15,13.65,JP,1619382387
55,bucerias,20.75,-105.3333,82.4,65,75,14.97,MX,1619382387
56,talnakh,69.4865,88.3972,-2.22,95,82,2.35,RU,1619382388
57,new norfolk,-42.7826,147.0587,55.99,76,96,5.01,AU,1619382388
58,kavaratti,10.5669,72.642,84.06,72,1,8.37,IN,1619382388
59,moroni,-11.7022,43.2551,79.41,79,95,3.11,KM,1619382388
60,tupiza,-21.45,-65.7167,65.48,9,0,19.28,BO,1619382388
61,beyla,8.6833,-8.6333,73.81,79,100,3.18,GN,1619382389
62,isangel,-19.55,169.2667,76.28,87,100,11.41,VU,1619382389
63,bambous virieux,-20.3428,57.7575,78.01,94,75,12.66,MU,1619382389
64,korla,41.7597,86.1469,49.75,26,7,8.01,CN,1619382104
65,kichmengskiy gorodok,59.9816,45.7854,36.79,98,100,2.48,RU,1619382389
66,thompson,55.7435,-97.8558,39.2,35,75,10.36,CA,1619382102
67,fayaoue,-20.65,166.5333,75.87,80,98,8.86,NC,1619382390
68,kempten,47.7267,10.3139,42.8,52,0,6.91,DE,1619382390
69,terney,45.0503,136.6092,29.61,66,6,5.46,RU,1619382390
70,akyab,20.15,92.9,81.77,79,1,6.04,MM,1619382271
71,ostrovnoy,68.0531,39.5131,34.07,98,100,19.91,RU,1619382390
72,port elizabeth,-33.918,25.5701,59.0,88,40,2.3,ZA,1619382391
73,plastun,44.7561,136.2939,29.43,62,4,4.18,RU,1619382391
74,bredasdorp,-34.5322,20.0403,53.6,94,100,2.28,ZA,1619382391
75,saldanha,-33.0117,17.9442,60.8,88,100,5.75,ZA,1619382391
76,awjilah,29.1081,21.2869,65.97,61,0,16.42,LY,1619382391
77,vila velha,-20.3297,-40.2925,80.6,74,40,5.75,BR,1619382392
78,klaksvik,62.2266,-6.589,44.6,100,100,12.66,FO,1619382392
79,faanui,-16.4833,-151.75,80.94,64,4,2.91,PF,1619382392
80,los llanos de aridane,28.6585,-17.9182,69.8,64,75,3.44,ES,1619382392
81,mar del plata,-38.0023,-57.5575,64.0,67,40,11.5,AR,1619382352
82,jumla,29.2747,82.1838,46.35,47,0,4.14,NP,1619382393
83,hithadhoo,-0.6,73.0833,82.56,68,99,4.52,MV,1619382393
84,guerrero negro,27.9769,-114.0611,67.95,55,98,13.71,MX,1619382393
85,rio brilhante,-21.8019,-54.5464,75.76,66,98,6.62,BR,1619382393
86,dawson creek,55.7666,-120.2362,46.4,21,1,5.75,CA,1619382394
87,dengzhou,37.8086,120.7508,50.77,66,100,2.15,CN,1619382394
88,zhigansk,66.7697,123.3711,32.5,99,100,8.39,RU,1619382394
89,balikpapan,-1.2675,116.8289,75.47,86,93,2.59,ID,1619382394
90,santa rosa,14.3122,121.1114,80.6,78,20,2.3,PH,1619382394
91,placido de castro,-10.3353,-67.1856,90.03,52,51,2.8,BR,1619382395
92,alenquer,-1.9417,-54.7383,84.2,74,20,8.05,BR,1619382395
93,altamira,-3.2033,-52.2064,87.8,62,20,5.75,BR,1619382395
94,ahuimanu,21.4447,-157.8378,82.4,65,75,13.8,US,1619382395
95,provideniya,64.3833,-173.3,35.6,69,0,4.47,RU,1619382396
96,khatanga,71.9667,102.5,4.59,88,78,14.72,RU,1619382396
97,arraial do cabo,-22.9661,-42.0278,77.0,78,0,8.05,BR,1619382396
98,noumea,-22.2763,166.4572,77.0,100,75,6.29,NC,1619382396
99,emba,48.8264,58.1442,52.65,82,100,4.92,KZ,1619382397
100,hidalgotitlan,17.7833,-94.6333,86.0,70,75,11.5,MX,1619382397
101,hokitika,-42.7167,170.9667,47.3,80,77,3.65,NZ,1619382397
102,krasnogorsk,55.8225,37.3181,37.4,60,0,13.42,RU,1619382397
103,kapaa,22.0752,-159.319,80.6,61,40,16.11,US,1619382397
104,padang,-0.9492,100.3543,77.59,85,92,3.36,ID,1619382121
105,hobart,-42.8794,147.3294,57.2,62,75,17.27,AU,1619382181
106,belem,-1.4558,-48.5044,84.2,79,40,8.05,BR,1619382136
107,lompoc,34.6391,-120.4579,57.2,72,100,13.8,US,1619382398
108,aklavik,68.2191,-135.0107,24.8,68,1,9.22,CA,1619382398
109,carnarvon,-24.8667,113.6333,62.6,72,0,5.75,AU,1619382398
110,pisco,-13.7,-76.2167,71.01,83,20,11.5,PE,1619382398
111,vaini,-21.2,-175.2,75.2,100,75,5.75,TO,1619382399
112,tanete,-3.9443,119.7848,72.5,95,47,3.67,ID,1619382399
113,tura,25.5198,90.2201,76.93,29,2,3.89,IN,1619382399
114,yar-sale,66.8333,70.8333,33.06,92,100,11.97,RU,1619382399
115,jardim,-21.4803,-56.1381,73.92,81,94,5.44,BR,1619382400
116,husavik,66.0449,-17.3389,37.4,93,90,14.97,IS,1619382400
117,jasper,37.2001,-94.3502,75.2,35,1,19.57,US,1619382400
118,butaritari,3.0707,172.7902,82.36,76,19,12.17,KI,1619382400
119,tuatapere,-46.1333,167.6833,46.0,80,77,11.99,NZ,1619382401
120,brazzaville,-4.2658,15.2832,82.4,74,20,3.44,CG,1619382401
121,dikson,73.5069,80.5464,16.52,91,100,11.3,RU,1619382401
122,tondi,9.7333,79.0167,84.51,72,14,8.9,IN,1619382401
123,kodiak,57.79,-152.4072,42.8,81,90,12.66,US,1619382243
124,longyearbyen,78.2186,15.6401,19.4,63,40,12.66,SJ,1619382401
125,samana,19.2056,-69.3369,87.8,66,20,13.8,DO,1619382402
126,kysyl-syr,63.8986,122.7617,32.92,99,100,3.87,RU,1619382402
127,codrington,-38.2667,141.9667,53.62,84,100,4.92,AU,1619382402
128,srednekolymsk,67.45,153.6833,9.68,89,34,5.19,RU,1619382402
129,saint-philippe,-21.3585,55.7679,78.8,73,40,20.71,RE,1619382403
130,bathsheba,13.2167,-59.5167,84.2,51,20,18.41,BB,1619382403
131,timbiqui,2.7717,-77.6654,82.54,76,84,8.48,CO,1619382403
